Malpass Scholars Program,Malpass Scholars Program is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/malpass-scholars-program,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
Latino Studies Scholars Program,"Latino Studies Scholars Program is available for undergraduate students who demonstrated leadership role in U.S. Latino community through their family, church, school, or nonprofit organization. ...",https://www.scholarshipportal.com/scholarship/latino-studies-scholars-program,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
Notre Dame Stamps Scholars Program,Notre Dame Stamps Scholars Program is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/notre-dame-stamps-scholars-program,Bachelor,$12.000,NA,NA
John A. and Virginia M. Kaneb Merit Scholarship,John A. and Virginia M. Kaneb Merit Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/john-a-and-virginia-m-kaneb-merit-scholarship,Bachelor,"$25,000 in tuition fees for up to four years",NA,NA
The Hesburgh-Yusko Scholars Program,"The Hesburgh-Yusko Scholars Program, a part of the Notre Dame Scholars' Program, is a comprehensive, merit-based scholarship and leadership-development program that seeks to attract, encourage, and equip extraordinary students wh...",https://www.scholarshipportal.com/scholarship/the-hesburgh-yusko-scholars-program,Bachelor,"$25,000 per year, up to four years in tuition fees",NA,NA
Frazier Thompson Merit Scholarship,Frazier Thompson Merit Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement. ...,https://www.scholarshipportal.com/scholarship/frazier-thompson-merit-scholarship,Bachelor,"$15,000 in tuition for up to four years",NA,NA
Edward W. Devine Scholarship,"Edward W. Devine Scholarship is available to all undergraduate students who proved and outstanding academic achievement and commitment to service, and are in financial need. ...",https://www.scholarshipportal.com/scholarship/edward-w-devine-scholarship,Bachelor,"$25,000 in tuition for up to four years",NA,NA
Besio Family Scholarship,Besio Family Scholarship is available to students who proved an outstanding academic achievement and commitment to service. ...,https://www.scholarshipportal.com/scholarship/besio-family-scholarship,Bachelor,"$25,000 per year for four years, in tuition fees.",NA,NA
Cathy and Jack Brennan Family Scholars Program,"Cathy and Jack Brennan Family Scholars Program is available to all undergraduate students who proved and outstanding academic achievement and commitment to service, but are in financial need. ...",https://www.scholarshipportal.com/scholarship/cathy-and-jack-brennan-family-scholars-program,Bachelor,"$25,000 for up to four years, in tuition fees",NA,NA
Alumni Music Scholarship,"This scholarship is open to Citizens of Change from any country, on the first year of any undergraduate or postgraduate degree, who play any instrument (including instruments from non-European cultures). Singers can also apply. ...",https://www.scholarshipportal.com/scholarship/alumni-music-scholarship,"Bachelor, , Master, , Phd",£500 for lessons,NA,NA
Family Loyalty Discount,"If you have a sibling, spouse or parent who is either currently studying on – or has graduated from – a full-time course here at the University of Leicester, you are eligible for this award. ...",https://www.scholarshipportal.com/scholarship/family-loyalty-discount,"Bachelor, , Master, , Phd",10% discount on the tuition fee,NA,NA
"Media, Communications and Sociology Merit Undergraduate Scholarship","This merit-based scholarship is open to international-fee-paying students applying for an undergraduate degree in the University of Leicester School of Media, Communications and Sociology. ...",https://www.scholarshipportal.com/scholarship/media-communications-and-sociology-merit-undergraduate-scholarship,Bachelor,"£3,000 or £5,000 per year",NA,NA
Citizens of Change 100,"Citizens of Change 100 Scholarship is for students who are whether an inventor, an activist, an entrepreneur or a dreamer, but they want to make the world a better place. ...",https://www.scholarshipportal.com/scholarship/citizens-of-change-100,"Bachelor, , Master, , Phd",50% off your first year tuition fees,NA,NA
College of Science and Engineering International Merit Scholarship,This merit-based scholarship is open to international-fee-paying students applying for an undergraduate degree in any of the schools within our College of Science and Engineering. ...,https://www.scholarshipportal.com/scholarship/college-of-science-and-engineering-international-merit-scholarship,Bachelor,"£3,000 or £5,000 in tuition fees",NA,NA
